,1990,1992,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020,2022
"Gramm, Phil (R-TX)",856514,198775,222850,973630,56250,52750,-4250,,,,,,,,,,
"Johnston, J Bennett (D-LA)",632450,10500,64698,-16500,,,,,,,,,,,,,
"McConnell, Mitch (R-KY)",373591,5750,40300,252459,4500,68658,294200,27000,217050,830300,72625,732449,1373193,186725,125863,1060351,95071
"Domenici, Pete V (R-NM)",362189,500,15750,361935,2000,27900,448451,18500,196300,334918,,,,,,,
"Heflin, Howell (D-AL)",257809,3500,7000,-1500,,,,,,,,,,,,,
"Rockefeller, Jay (D-WV)",214824,12150,20000,144000,4700,10900,146889,3500,30150,272750,29500,17000,-3500,,,,
"Boren, David Lyle (D-OK)",199310,6400,82549,,,,,,,,,,,,,,
"Bradley, Bill (D-NJ)",191343,-150,15100,,,,,,,,,,,,,,
"Coats, Dan (R-IN)",188175,227310,500,29325,,,,,,,,31500,107500,-19300,,,
"Simpson, Alan K (R-WY)",185031,2000,25000,39785,,,,,,,,,,,,,
"Boschwitz, Rudy (R-MN)",172428,,,,,,,,,,,,,,,,
"Hatfield, Mark O (R-OR)",162500,7500,5500,31785,,,,,,,,,,,,,
"Baucus, Max (D-MT)",149871,-1000,39379,90180,12000,18250,285349,40000,156348,432578,110400,198200,64050,,,,
"Stevens, Ted (R-AK)",133626,1500,29450,260640,13040,45275,239940,13750,68050,332050,,,,,,,
"Warner, John W (R-VA)",124238,1280,4500,228949,32375,20950,142612,3000,4000,12500,,,,,,,
"Helms, Jesse (R-NC)",113852,16547,4830,125410,14450,,2250,,,,,,,,,,
"Specter, Arlen (R-PA)",92525,266416,28550,81670,258633,,90500,400503,1500,213450,,,,,,,
"Levin, Carl (D-MI)",92139,,,59838,,1100,76066,,10700,123804,1000,-1000,,,,,
"Cochran, Thad (R-MS)",91375,5100,4000,54535,1000,2500,91600,5000,15200,129050,6500,28606,398699,62400,-800,,
"Simon, Paul (D-IL)",87785,,4000,,,,,,,,,,,,,,
"McClure, James A (R-ID)",87300,,,,,,,,,,,,,,,,
"Nunn, Sam (D-GA)",75475,-810,,,,,,,,,,,,,,,
"Conrad, Kent (D-ND)",73489,198772,170082,1500,24750,119169,25500,49000,158323,13300,84250,-3000,,,,,
"Kerry, John (D-MA)",71550,5500,21750,67540,37675,36625,89461,,8800,61150,43725,2000,-4100,,,,
"Exon, Jim (D-NE)",68218,1500,,,,,,,,,,,,,,,
"Nickles, Don (R-OK)",68068,603099,3500,40700,439377,10000,5500,51750,,,,,,,,,
"Pressler, Larry (R-SD)",64725,2250,4050,154022,,,,,,,,,,,,,
"Pryor, David (D-AR)",64000,-2000,,,,,,,,,,,,,,,
"Harkin, Tom (D-IA)",59400,34000,15000,51500,1500,6700,53399,1800,9000,103152,21750,13600,2000,,,,
"Gore, Al (D-TN)",58189,550,,,,,,,,,,,,,,,
"Thurmond, Strom (R-SC)",54050,1500,1000,74885,,,,,,,,,,,,,
"Reid, Harry (D-NV)",44000,123336,5400,62750,191651,30000,130600,198998,12800,113850,579849,70692,133750,-10575,,,
"Pell, Claiborne (D-RI)",40000,,,,,,,,,,,,,,,,
"Bentsen, Lloyd (D-TX)",39550,102500,-255,,,,,,,,,,,,,,
"Dixon, Alan J (D-IL)",33200,102532,,,,,,,,,,,,,,,
"Symms, Steven D (R-ID)",32500,25583,,,,,,,,,,,,,,,
"Akaka, Daniel K (D-HI)",32100,18050,24950,,4000,18500,,,44950,4500,,,,,,,
"Wirth, Timothy E (D-CO)",31800,124900,,,,,,,,,,,,,,,
"Cranston, Alan (D-CA)",31500,-2155,,,,,,,,,,,,,,,
"Graham, Bob (D-FL)",28000,116990,,14000,144022,,34250,,,,,,,,,,
"Cohen, William S (R-ME)",26750,250,2000,26185,,,,,,,,,,,,,
"Kassebaum, Nancy Landon (R-KS)",25658,,,,,,,,,,,,,,,,
"Mack, Connie (R-FL)",22020,33440,100674,17500,38150,-18425,,,,,,,,,,,
"Biden, Joe (D-DE)",22000,,1500,7950,,4200,24200,12500,37750,57770,-700,,,,,,
"Dole, Bob (R-KS)",20750,227887,1000,,,,,,,,,,,,,,
"Hollings, Fritz (D-SC)",19500,107333,14100,12100,137582,10250,34200,6500,,,,,,,,,
"Lott, Trent (R-MS)",18750,19000,182754,17900,48450,180183,1000,23000,207000,,,,,,,,
"D'Amato, Alfonse M (R-NY)",18640,112716,29150,250450,335010,,,,,,,,,,,,
"Murkowski, Frank H (R-AK)",18131,274450,27990,81786,433917,42763,24000,,,,,,,,,,
"Bond, Christopher ""Kit"" (R-MO)",18000,228599,1250,34300,354952,,28750,408952,929,66300,-9950,,,,,,
"Lautenberg, Frank (D-NJ)",16750,42012,98038,6500,10750,,,5000,33750,111250,3500,3000,,,,,
"Breaux, John (D-LA)",16024,287775,-500,16900,401372,-2000,11000,79461,,,,,,,,,
"Bryan, Richard H (D-NV)",15500,7200,89035,-1000,7500,,,,,,,,,,,,
"Kasten, Bob (R-WI)",15355,143566,,,,,,,,,,,,,,,
"Bingaman, Jeff (D-NM)",14144,10483,177366,26246,10661,362652,12028,81300,426637,29500,133100,-24800,,,,,
"Fowler, Wyche Jr (D-GA)",13250,148599,,,,,,,,,,,,,,,
"McCain, John (R-AZ)",13050,175004,3500,2600,192825,249467,-500,54200,11850,,289185,-3500,97250,461742,,,
"Gorton, Slade (R-WA)",12950,16100,153854,11774,29432,359886,,,,,,,,,,,
"Shelby, Richard C (D-AL)",12500,247639,17200,,,,,,,,,,,,,,
"Sanford, James Terry (D-NC)",11500,67250,,,,,,,,,,,,,,,
"Heinz, John (R-PA)",11250,1400,,,,,,,,,,,,,,,
"Deconcini, Dennis (D-AZ)",10400,11750,37477,,,,,,,,,,,,,,
"Adams, Brock (D-WA)",8950,30250,,,,,,,,,,,,,,,
"Glenn, John (D-OH)",8750,104508,55500,,,,,,,,,,,,,,
"Daschle, Tom (D-SD)",8500,74845,20650,45250,128691,3500,27000,171399,,,,,,,,,
"Wilson, Pete (R-CA)",8500,,,,,,,,,,,,,,,,
"Bumpers, Dale (D-AR)",7500,190866,,1000,,,,,,,,,,,,,
"Burns, Conrad (R-MT)",7300,35150,210112,52900,48108,366246,21850,61250,515554,,,,,,,,
"Durenberger, Dave (R-MN)",7300,5300,6000,,,,,,,,,,,,,,
"Lugar, Richard G (R-IN)",7150,29100,117387,94071,42050,135882,12450,61961,119095,5850,10525,189400,,,,,
"Moynihan, Daniel Patrick (D-NY)",7000,30725,122750,-1000,4000,,,,,,,,,,,,
"Hatch, Orrin G (R-UT)",6900,4500,152537,9525,12250,113338,-2300,24800,247950,13600,45350,665068,49300,156600,156800,,
"Lieberman, Joe (D-CT)",6000,29100,113660,-2000,4214,74299,450,106200,,,,,,,,,
"Packwood, Bob (R-OR)",6000,101633,2500,3000,,,,,,,,,,,,,
"Robb, Charles S (D-VA)",6000,,157375,11500,10500,118300,,,,,,,,,,,
"Mikulski, Barbara A (D-MD)",5750,42400,7150,4900,33250,2500,7500,98460,14500,19500,35350,5000,24000,-500,,,
"Dodd, Chris (D-CT)",5333,59539,2900,26100,84450,9500,20450,62246,39100,147400,23450,,,,,,
"Grassley, Chuck (R-IA)",5250,64783,4794,11000,83450,3750,67956,272339,48480,71150,341556,17000,82250,344500,44500,46926,320203
"Kerrey, Bob (D-NE)",4600,48005,78050,4000,25250,55000,,,,,,,,,,,
"Ford, Wendell H (D-KY)",4000,267700,-100,1250,,,,,,,,,,,,,
"Wallop, Malcolm (R-WY)",3715,20965,53250,,,,,,,,,,,,,,
"Chafee, John H (R-RI)",3200,7300,132075,,2000,1500,,,,,,,,,,,
"Leahy, Patrick (D-VT)",2000,11500,1550,1250,5200,,1000,9700,3000,3750,29200,3000,2000,17410,5002,-2232,4000
"Byrd, Robert C (D-WV)",1500,13000,81200,-1250,1000,122111,-2000,,146042,-1000,,,,,,,
"Garn, Jake (R-UT)",1500,,,,,,,,,,,,,,,,
"Roth, William V Jr (R-DE)",1000,500,76804,2000,16418,172200,,,,,,,,,,,
"Danforth, John C (R-MO)",500,3000,,,,,,,,,,,,,,,
"Sasser, Jim (D-TN)",150,2500,140900,,,,,,,,,,,,,,
"Mitchell, George J (D-ME)",-500,,54050,,,,,,,,,,,,,,
"Riegle, Donald W Jr (D-MI)",-625,26072,58477,,,,,,,,,,,,,,
"Seymour, John F (R-CA)",,307190,,,,,,,,,,,,,,,
"Wofford, Harris (D-PA)",,134150,139520,,,,,,,,,,,,,,
"Feinstein, Dianne (D-CA)",,90610,142350,500,,133750,3000,95750,129150,29500,103000,362450,8100,70000,204027,-2080,
"Inouye, Daniel K (D-HI)",,28700,4000,,26400,,1000,42400,1000,32400,94300,6500,,,,,
"Kennedy, Edward M (D-MA)",,15452,96574,29500,13750,76250,500,13750,54000,3500,-200,,,,,,
"Wellstone, Paul (D-MN)",,5000,200,8128,,,17850,,,,,,,,,,
"Craig, Larry (R-ID)",,3000,38450,281411,58925,16000,371894,16000,51500,44000,,,,,,,
"Smith, Bob (R-NH)",,500,16650,127760,17971,133522,188550,,,,,,,,,,
"Jeffords, James M (R-VT)",,250,21054,,1940,54676,,,,,,,,,,,
"Brown, Hank (R-CO)",,-1000,900,,,,,,,,,,,,,,
"Burdick, Quentin N (D-ND)",,-1000,,,,,,,,,,,,,,,
"Hutchison, Kay Bailey (R-TX)",,,1169106,116900,301806,334783,11000,227750,545219,165850,-18150,,,,,,
"Krueger, Robert (Bob) (D-TX)",,,429462,,,,,,,,,,,,,,
"Thompson, Fred (R-TN)",,,152674,117600,3000,,24300,,,,,,,,,,
"Campbell, Ben Nighthorse (D-CO)",,,60394,,,,,,,,,,,,,,
"Faircloth, Lauch (R-NC)",,,57952,81000,289553,,,,,,,,,,,,
"Sarbanes, Paul S (D-MD)",,,33400,,2000,34150,,5500,,,,,,,,,
"Coverdell, Paul (R-GA)",,,32250,34000,188799,17550,,,,,,,,,,,
"Bennett, Robert F (R-UT)",,,27098,25718,106112,3000,6000,126750,35250,16500,359600,,,,,,
"Kempthorne, Dirk (R-ID)",,,16500,3500,47595,,,,,,,,,,,,
"Braun, Carol Moseley (D-IL)",,,7750,22750,74664,,,,,,,,,,,,
"Mathews, Harlan (D-TN)",,,6750,,,,,,,,,,,,,,
"Boxer, Barbara (D-CA)",,,3900,12050,65001,,1450,37525,2400,83050,279239,,4250,,,,
"Murray, Patty (D-WA)",,,3300,8350,85089,6750,62300,148700,16700,118750,261465,17500,99100,253008,13828,40698,236444
"Gregg, Judd (R-NH)",,,3000,16322,36250,500,3500,114150,,1000,,,,,,,
"Kohl, Herb (D-WI)",,,1900,,,,,,1300,,,,,,,,
"Feingold, Russ (D-WI)",,,700,2050,21238,200,11000,50060,15250,15775,60510,,,,,,
"Dorgan, Byron L (D-ND)",,,-500,,100699,7618,33747,143401,31925,150750,378784,,,,,,
"Dole, Bob (R)",,,,1122052,,,,,,,,,,,,,
"Inhofe, James M (R-OK)",,,,284373,4000,118654,450115,51000,148200,813054,73479,218100,547425,65000,100189,555602,-2600
"Shelby, Richard C (R-AL)",,,,81750,179123,37000,49250,213050,2000,6000,161500,8350,25000,92550,5000,,-4000
"Abraham, Spencer (R-MI)",,,,48800,48427,458898,,,,,,,,,,,
